ID,Sequence,Fomite
1,1,Frontdesk
1,2,Tabletop
1,3,Fridge 
1,4,Frontdesk
1,5,End
2,1,Elevator
2,2,End
3,1,Tabletop
3,2,End
4,1,Gymdoor
4,2,Frontdesk
4,3,Tabletop
4,4,End
5,1,Elevator
5,2,Chairs 
5,3,Frontdesk
5,4,End
6,1,Gymdoor
6,2,Fridge 
6,3,Elevator
6,4,End
7,1,Elevator
7,2,Tabletop
7,3,Backdoor
7,4,End
8,1,Elevator
8,2,Tabletop
8,3,Elevator
8,4,End
9,1,Elevator
9,2,End
10,1,Elevator
10,2,End
11,1,Elevator
11,2,Chairs 
11,3,Frontdesk
11,4,Tabletop
11,5,End
12,1,Elevator
12,2,Backdoor
12,3,End
13,1,Tabletop
13,2,Frontdesk
13,3,End
14,1,Elevator
14,2,Tabletop
14,3,Fridge 
14,4,Frontdesk
14,5,End
15,1,Elevator
15,2,End
16,1,Sanitizerpump
16,2,Elevator
16,3,Tabletop
16,4,End
17,1,Elevator
17,2,Tabletop
17,3,Chairs 
17,4,End
18,1,Chairs 
18,2,End
19,1,Elevator
19,2,End
20,1,Frontdesk
20,2,ATM
20,3,End
21,1,Frontdesk
21,2,Tabletop
21,3,Tabletop
21,4,Elevator
21,5,End
22,1,Elevator
22,2,Tabletop
22,3,Fridge 
22,4,End
23,1,Elevator
23,2,End
24,1,Tabletop
24,2,Elevator
24,3,End
25,1,Elevator
25,2,End
26,1,Tabletop
26,2,End
27,1,Elevator
27,2,End
28,1,Elevator
28,2,Frontdesk
28,3,End
29,1,Elevator
29,2,Tabletop
29,3,Chairs 
29,4,End
30,1,Elevator
30,2,Tabletop
30,3,End
31,1,Elevator
31,2,End
32,1,Elevator
32,2,Chairs 
32,3,Tabletop
32,4,End
33,1,Frontdesk
33,2,End
34,1,Elevator
34,2,Frontdesk
34,3,Chairs 
34,4,End
35,1,Elevator
35,2,Fridge 
35,3,Tabletop
35,4,Frontdesk
35,5,End
36,1,Elevator
36,2,Tabletop
36,3,Chairs 
36,4,End
37,1,Elevator
37,2,End
38,1,Elevator
38,2,Frontdesk
38,3,End
39,1,Elevator
39,2,Frontdesk
39,3,Elevator
39,4,End
40,1,Frontdesk
40,2,Chairs 
40,3,End
41,1,Elevator
41,2,Tabletop
41,3,Frontdesk
41,4,End
42,1,Elevator
42,2,Tabletop
42,3,Backdoor
42,4,End
43,1,Backdoor
43,2,Chairs 
43,3,End
44,1,Gymdoor
44,2,Chairs 
44,3,Backdoor
44,4,End
45,1,Elevator
45,2,Pooltable
45,3,End
46,1,Elevator
46,2,Frontdesk
46,3,Bathroomdoor
46,4,End
47,1,Tabletop
47,2,Elevator
47,3,End
48,1,Elevator
48,2,End
49,1,Elevator
49,2,Chairs 
49,3,Pooltable
49,4,End
50,1,Bathroomdoor
50,2,Chairs 
50,3,Pooltable
50,4,End
51,1,Backdoor
51,2,Gymdoor
51,3,End
