"Scenario","Surface","TE.sh","TE.hs","k.surf","Conc.4hour","Conc.surf.i"
"Baseline","Elevator",0.370118349675419,0.203620901082364,0.000243871932258122,3.88429921177371e-05,123.097660643892
"Baseline","Frontdesk",0.373728500933995,0.206937874564042,0.000244497226452507,1.77800627769072e-06,120.300606650564
"Baseline","Elevator",0.369865149092675,0.208394010653702,0.000244212346324176,3.62837859591931e-05,114.99076263287
"Baseline","Frontdesk",0.37491518576085,0.204849556048068,0.000243828798789058,1.68924513143351e-06,114.99076263287
"Baseline","Table",0.316626328491702,0.252251790266794,0.000223480597940314,3.78027875856888e-08,121.775248410679
"Baseline","Elevator",0.370591923065375,0.207338170521669,0.000244094223812856,3.8176607479742e-05,120.000929374458
"Baseline","Table",0.315851392995889,0.25421881720227,0.000223665556008871,3.69700995385478e-08,120.000929374458
"I1","Elevator",0.161465181939496,0.342920418223694,0.300194364085365,1.65512457664292e-27,201.631197970718
"I1","Frontdesk",0.373278876204376,0.204984470975891,0.0002439096065828,2.9841412664409e-06,201.995720218584
"I1","Elevator",0.161465181939496,0.342920418223694,0.300194364085365,1.60937659708634e-27,201.586610326877
"I1","Frontdesk",0.372838094216504,0.205211075663388,0.000244165919122504,2.97920649862827e-06,201.586610326877
"I1","Table",0.316853998181678,0.253019217109361,0.00022382100278247,6.24895368218338e-08,202.369028026578
"I1","Elevator",0.161465181939496,0.342920418223694,0.300194364085365,1.65699707825605e-27,201.719876996523
"I1","Table",0.318921072628484,0.255629249376328,0.000223485951922596,6.03413743874789e-08,201.719876996523
"I2","Elevator",0.370015624645078,0.204621633377417,0.000244468355195253,3.26156819848665e-06,10.4841761108126
"I2","Frontdesk",0.372271079039115,0.207217707572892,0.000244045309005517,1.48264575700826e-07,10.1863588549244
"I2","Elevator",0.371451762364055,0.205604648195747,0.000244366406569195,3.23749543489432e-06,10.2915808885777
"I2","Frontdesk",0.373621109365562,0.206266125597648,0.000244670236232099,1.50726371486816e-07,10.2915808885777
"I2","Table",0.319687900038197,0.252381578376178,0.000223718561828488,2.98543286598384e-09,9.92135060738794
"I2","Elevator",0.370261602464046,0.206960800309804,0.000244195435403187,3.10796183841969e-06,9.87097457320849
"I2","Table",0.320370669236553,0.252110595298435,0.000223600872713793,3.06162528703037e-09,9.87097457320849
"I3","Elevator",0.224290017301515,0.124564643032177,0.000243735294961517,3.74351884684656e-05,118.381741476784
"I3","Frontdesk",0.225814260058238,0.126072605869844,0.000245109149079422,1.81015271845649e-06,123.126960465285
"I3","Elevator",0.224833416129305,0.125262822765061,0.000244637603467893,3.72179688843502e-05,117.425589519148
"I3","Frontdesk",0.226106704131376,0.125141222527427,0.000244047707321405,1.73273739434027e-06,117.425589519148
"I3","Table",0.194852261262415,0.154692422575379,0.000223490782185627,3.6726979625163e-08,120.609636914431
"I3","Elevator",0.225603226619729,0.124957059196288,0.000244761392802448,3.8039392404384e-05,119.948056919884
"I3","Table",0.190688889485225,0.152504314454963,0.000223302943137551,3.62585439607952e-08,119.948056919884
"I4","Elevator",0.373591403385529,0.205879100778327,0.000243749398201552,3.81770409294594e-05,120.793876319073
"I4","Frontdesk",0.370863399353381,0.206353229569224,0.000244570376449263,1.76140858832077e-06,119.552088409354
"I4","Elevator",0.366407669954245,0.207365846276171,0.00024434354294692,3.818019272347e-05,122.020653836816
"I4","Frontdesk",0.371456672231778,0.201721988259506,0.000244127448726866,1.77753514332409e-06,122.020653836816
"I4","Table",0.316446142794812,0.25377929194268,0.000223337691474303,3.70075193653438e-08,123.965755479013
"I4","Elevator",0.369135811476221,0.207998692521759,0.000244205528397333,3.71470833734846e-05,117.830716569504
"I4","Table",0.317830978632087,0.253636975822445,0.000223216655495709,3.47824638751642e-08,117.830716569504
"I5","Elevator",0.372244964019205,0.207626952186024,0.000244198171237174,3.28897236967606e-05,104.461845463493
"I5","Frontdesk",0.373258405488945,0.206304498252996,0.000244111235088667,1.62934297798081e-06,110.855616096763
"I5","Elevator",0.370448329925946,0.207870919919936,0.000244618807349117,3.35568529573734e-05,105.35486075279
