"scenario","sequence","event","variable","mean","sd","min","max","median"
"I1","E","Hand to face touch","Conc.h",0.129601354190085,0.493031199166491,3.1108275012684e-10,14.2805012385499,0.00173679556743523
"I1","E","suscept touch seq 1","Conc.h",0.137618690781736,0.522509464829673,3.25519246809004e-10,14.8767932544154,0.00184502605743806
"I1","E_FD","Hand to face touch","Conc.h",0.118264821474804,0.45741052616557,3.11495900861129e-10,14.2495950741417,0.00157154071636795
"I1","E_FD","suscept touch seq 1","Conc.h",0.136729721504358,0.527830700747654,3.40316863208987e-10,16.0606569221019,0.00183811261916606
"I1","E_FD","suscept touch seq 2","Conc.h",0.125562515369583,0.484727812804685,3.25951570734999e-10,14.8445965821483,0.00167475761345388
"I1","E_TT","Hand to face touch","Conc.h",0.117686705734647,0.443544778853888,3.12753611876477e-10,12.4238440133773,0.00156741224914485
"I1","E_TT","suscept touch seq 1","Conc.h",0.136796935560256,0.516256353322124,3.56721801714324e-10,14.4068080788745,0.00182629897418376
"I1","E_TT","suscept touch seq 2","Conc.h",0.124924227872061,0.469837231147467,3.27267648666844e-10,12.9426100474109,0.00165873307276151
"I2","E","Hand to face touch","Conc.h",0.0336358465504227,0.186210532458521,3.08367185663289e-10,6.93131502983621,0.00024681232724662
"I2","E","suscept touch seq 1","Conc.h",0.0357453419423161,0.197952028724886,3.29278585939243e-10,7.29660248781323,0.000260234212976169
"I2","E_FD","Hand to face touch","Conc.h",0.0337662110460547,0.210033728109879,9.13697550227441e-11,8.56088755357943,0.000218398824764219
"I2","E_FD","suscept touch seq 1","Conc.h",0.0391449079260299,0.246824140936606,1.0053611675729e-10,10.4654448433285,0.000250767890130723
"I2","E_FD","suscept touch seq 2","Conc.h",0.03587725985329,0.223961886048577,9.54116275930833e-11,9.37240293403064,0.000230961994498677
"I2","E_TT","Hand to face touch","Conc.h",0.0311196282325955,0.169135606193397,6.19426372271486e-10,5.73037954398821,0.000208120423711544
"I2","E_TT","suscept touch seq 1","Conc.h",0.0362059744063381,0.196196685772675,7.00005564998882e-10,6.84935770905434,0.000240584042684861
"I2","E_TT","suscept touch seq 2","Conc.h",0.0330234938239718,0.178607113396742,6.5159174115227e-10,5.97166985894111,0.000220427315499051
"I3","E","Hand to face touch","Conc.h",0.244223911710507,0.867116310895417,1.40236515381843e-07,18.6350226885353,0.00362836464381417
"I3","E","suscept touch seq 1","Conc.h",0.25950029283891,0.920989463499026,1.47955732204561e-07,20.0906779195382,0.00385104302376962
"I3","E_FD","Hand to face touch","Conc.h",0.229697767146571,0.816109817001308,1.32622895070521e-08,24.4304603368658,0.0032104996097265
"I3","E_FD","suscept touch seq 1","Conc.h",0.262706545647575,0.927982328253901,1.45870833152613e-08,27.1523658628368,0.00364845404164811
"I3","E_FD","suscept touch seq 2","Conc.h",0.244011109094102,0.864184149119952,1.3914927314266e-08,25.4680435976505,0.00340767693256063
"I3","E_TT","Hand to face touch","Conc.h",0.238520069847535,0.842297018533469,1.24134281616156e-07,16.2718259256178,0.00320426749565465
"I3","E_TT","suscept touch seq 1","Conc.h",0.27359119722665,0.965061750888489,1.52516178272265e-07,18.7879913457135,0.00364151583427582
"I3","E_TT","suscept touch seq 2","Conc.h",0.253258540561749,0.893644688874381,1.35051176308877e-07,17.4069909781417,0.00337944723325573
"I4","E","Hand to face touch","Conc.h",0.369877561839648,1.4490916066398,2.43408095241616e-09,43.6767654163637,0.0044593519719394
"I4","E","suscept touch seq 1","Conc.h",0.393350317607879,1.54196124848001,2.65671943406147e-09,46.4026500990608,0.00474239586391137
"I4","E_FD","Hand to face touch","Conc.h",0.337108051307605,1.24042157618181,6.13021500767686e-10,36.1122646276512,0.00385692052513556
"I4","E_FD","suscept touch seq 1","Conc.h",0.389887893209698,1.42585379696267,7.15094929946285e-10,39.8944130730007,0.00450281917775715
"I4","E_FD","suscept touch seq 2","Conc.h",0.358223101460139,1.31473620942165,6.58034956757167e-10,37.6459844499557,0.00414038441043141
"I4","E_TT","Hand to face touch","Conc.h",0.34758083219812,1.30008750634988,1.04885838431157e-09,31.064720613974,0.00402180068175706
"I4","E_TT","suscept touch seq 1","Conc.h",0.404348835282903,1.5148799341096,1.13914549311991e-09,40.5145387768562,0.00475272398958351
"I4","E_TT","suscept touch seq 2","Conc.h",0.36906703094717,1.37747526191551,1.0920499310667e-09,33.1202566143556,0.00430117599363728
"I5","E","Hand to face touch","Conc.h",0.361525126756658,1.40183847720952,7.04481519931394e-09,44.9969459746682,0.00424460259640234
"I5","E","suscept touch seq 1","Conc.h",0.384082267833458,1.49125960689995,7.64798851066837e-09,48.931850033695,0.00452993776419225
"I5","E_FD","Hand to face touch","Conc.h",0.344170094991455,1.35374057741058,3.22233906790131e-09,47.7927803758257,0.00389429217811911
"I5","E_FD","suscept touch seq 1","Conc.h",0.39777550362331,1.55645407294358,3.64290897579058e-09,55.3234769541879,0.00454093209763937
"I5","E_FD","suscept touch seq 2","Conc.h",0.365527945201571,1.43476735078736,3.38305628487597e-09,50.9552031718205,0.00412473094915851
"I5","E_TT","Hand to face touch","Conc.h",0.337557909502429,1.25133793321202,2.10806214021338e-10,39.856997738685,0.00398819166178758
"I5","E_TT","suscept touch seq 1","Conc.h",0.392867799482091,1.47053121964813,2.32549901482875e-10,52.7828378573936,0.00463660780046881
"I5","E_TT","suscept touch seq 2","Conc.h",0.358577558371211,1.33089108346157,2.19298005476378e-10,43.9876772945104,0.00422288640150693
"I6","E","Hand to face touch","Conc.h",0.333376857567302,1.32594419624423,1.9585157501689e-09,43.3638713435103,0.00356929721749343
"I6","E","suscept touch seq 1","Conc.h",0.354252374262535,1.40609763938395,2.11390194881077e-09,45.2055733175394,0.00374965238621571
"I6","E_FD","Hand to face touch","Conc.h",0.329540152251569,1.33253908116417,6.36440645606286e-09,30.8503207869493,0.00320011380237404
"I6","E_FD","suscept touch seq 1","Conc.h",0.381187635866669,1.54284687871894,7.55284553216733e-09,36.0378525399955,0.00372344291295095
"I6","E_FD","suscept touch seq 2","Conc.h",0.350158464333883,1.41560415550647,6.73152055541019e-09,32.7175242109001,0.00341165398602321
"I6","E_TT","Hand to face touch","Conc.h",0.306994361564908,1.19313809785092,6.94719097523579e-09,29.8661307478388,0.00299614056249589
"I6","E_TT","suscept touch seq 1","Conc.h",0.357159001289772,1.38176668698214,8.39401391067095e-09,34.9187977826203,0.00351494091063166
"I6","E_TT","suscept touch seq 2","Conc.h",0.325852997814721,1.26301514355355,7.60772689732863e-09,31.5775115213327,0.00320445593743892
"I7","E","Hand to face touch","Conc.h",0.347341782657675,1.33175180953122,3.75758533763147e-09,24.47749287273,0.00340703551222349
"I7","E","suscept touch seq 1","Conc.h",0.368801644671612,1.41125551600327,3.96103576581866e-09,25.5122361298726,0.00363472717751025
"I7","E_FD","Hand to face touch","Conc.h",0.329511641235284,1.35380555314406,1.15034226098874e-09,47.1421779491495,0.00334744999968058
"I7","E_FD","suscept touch seq 1","Conc.h",0.379920410978961,1.55251956623979,1.28719352779927e-09,54.7905334392856,0.00390588097631949
"I7","E_FD","suscept touch seq 2","Conc.h",0.349724953637888,1.43370947453405,1.19623972642786e-09,50.0312664960584,0.00357634075443346
"I7","E_TT","Hand to face touch","Conc.h",0.32480233491198,1.3150753112624,6.15611236300014e-09,35.0405029045899,0.0035183018639541
"I7","E_TT","suscept touch seq 1","Conc.h",0.377690667277013,1.52737256917469,7.13391843754888e-09,41.9225861448112,0.00410859712947542
"I7","E_TT","suscept touch seq 2","Conc.h",0.344812935094563,1.39411151382353,6.58261229011396e-09,36.5679726728472,0.00373198751982292
"I8","E","Hand to face touch","Conc.h",0.225608755673509,1.0326278402737,2.92932363106198e-09,32.4738708302509,0.00177975618250155
"I8","E","suscept touch seq 1","Conc.h",0.239860333019989,1.09784851571441,3.15849921180583e-09,34.1269881734617,0.00188305527167042
"I8","E_FD","Hand to face touch","Conc.h",0.21910939057864,0.975179313327658,3.93370389074733e-10,25.740541464936,0.00147133412244361
"I8","E_FD","suscept touch seq 1","Conc.h",0.254010404035789,1.139320458797,4.54648170372879e-10,29.7243516455327,0.00170343508645618
"I8","E_FD","suscept touch seq 2","Conc.h",0.232973536940387,1.03937471223371,4.12218186843747e-10,26.8337650300789,0.0015629398457323
"I8","E_TT","Hand to face touch","Conc.h",0.225110714404078,0.976204952761941,1.60922147591877e-08,24.8224170244376,0.00170860482095278
"I8","E_TT","suscept touch seq 1","Conc.h",0.262211381789348,1.14024204114334,1.76289793960638e-08,29.8015407003919,0.00197251022938027
"I8","E_TT","suscept touch seq 2","Conc.h",0.23907206998176,1.03526097687307,1.68220750059646e-08,26.2039323107527,0.00181594969142669
"I9","E","Hand to face touch","Conc.h",0.237168451646228,1.1126909514736,2.96736036820282e-09,37.8580151038638,0.00176694210560854
"I9","E","suscept touch seq 1","Conc.h",0.251884720923054,1.18261949987507,3.2802099686012e-09,39.4380670302597,0.00187603683174564
"I9","E_FD","Hand to face touch","Conc.h",0.21710717366901,0.999218817821601,5.67029698586645e-09,34.6510091633532,0.00155900538057143
"I9","E_FD","suscept touch seq 1","Conc.h",0.249788399605457,1.13561742598692,6.32769998207052e-09,39.1515521908778,0.0018148716351354
"I9","E_FD","suscept touch seq 2","Conc.h",0.230177997698992,1.053359563099,5.99164809291713e-09,36.1304847974274,0.00165833717718773
"I9","E_TT","Hand to face touch","Conc.h",0.239423407224751,1.12026184208492,5.43459691635231e-09,37.0105739672059,0.00163317705011331
"I9","E_TT","suscept touch seq 1","Conc.h",0.279143528068339,1.31633382903775,6.19987623241281e-09,46.8575554287541,0.00190896528518293
"I9","E_TT","suscept touch seq 2","Conc.h",0.254602157926245,1.19468735417446,5.66894880604053e-09,40.8462572827939,0.00172841575307923
"baseline","E","Hand to face touch","Conc.h",0.431105569227606,1.58220820909453,1.02114465774854e-08,39.3467196613902,0.00568329933114392
"baseline","E","suscept touch seq 1","Conc.h",0.458224607567192,1.68388074382561,1.0711607715996e-08,42.4202473546591,0.00605108533080955
"baseline","E_FD","Hand to face touch","Conc.h",0.396048921031863,1.4645048843215,1.72053673993657e-09,45.0635990091213,0.00512687928417962
"baseline","E_FD","suscept touch seq 1","Conc.h",0.457148632071148,1.69057705532099,1.93863330160621e-09,54.0968462643286,0.00596953037376198
"baseline","E_FD","suscept touch seq 2","Conc.h",0.42071701669069,1.55802641717992,1.79375468536968e-09,49.0043317591878,0.00545767327169229
"baseline","E_TT","Hand to face touch","Conc.h",0.408741686094498,1.57991303445347,1.9798823297574e-08,47.1308023742627,0.00528300679582337
"baseline","E_TT","suscept touch seq 1","Conc.h",0.475430810097225,1.83830318061597,2.15258162486719e-08,54.6988380181084,0.00610710012525473
"baseline","E_TT","suscept touch seq 2","Conc.h",0.43376015452541,1.66965765036801,2.06068560998679e-08,49.0987809968366,0.00560529893119524
