"scenario","sequence","event","variable","mean","sd","min","max","median"
"I1","E","Hand to face touch","Risk",0.000143054977539071,0.000627523605263136,3.87678196145054e-13,0.0262988629301503,1.66997757757048e-06
"I1","E","suscept touch seq 1","Risk",0,0,0,0,0
"I1","E_FD","Hand to face touch","Risk",0.00013070067269255,0.000585037073097027,3.8819307371811e-13,0.0262429935422799,1.56262294200693e-06
"I1","E_FD","suscept touch seq 1","Risk",0,0,0,0,0
"I1","E_FD","suscept touch seq 2","Risk",0,0,0,0,0
"I1","E_TT","Hand to face touch","Risk",0.000129985897879155,0.000571445815505501,3.89760460972798e-13,0.0229345911885948,1.53574304394666e-06
"I1","E_TT","suscept touch seq 1","Risk",0,0,0,0,0
"I1","E_TT","suscept touch seq 2","Risk",0,0,0,0,0
"I2","E","Hand to face touch","Risk",3.81641330692447e-05,0.000239273371937951,4.14586738962569e-13,0.0101825258690661,2.38528978603325e-07
"I2","E","suscept touch seq 1","Risk",0,0,0,0,0
"I2","E_FD","Hand to face touch","Risk",3.86639367801445e-05,0.000278624026174831,1.02183310252429e-13,0.015500513962341,2.18384628815516e-07
"I2","E_FD","suscept touch seq 1","Risk",0,0,0,0,0
"I2","E_FD","suscept touch seq 2","Risk",0,0,0,0,0
"I2","E_TT","Hand to face touch","Risk",3.51235483560914e-05,0.000202419826990347,8.47489925242683e-13,0.00568327237773489,2.08139543115493e-07
"I2","E_TT","suscept touch seq 1","Risk",0,0,0,0,0
"I2","E_TT","suscept touch seq 2","Risk",0,0,0,0,0
"I3","E","Hand to face touch","Risk",0.000266259801198665,0.00102930826899789,3.30132667836322e-11,0.0305983468500975,3.53954952054392e-06
"I3","E","suscept touch seq 1","Risk",0,0,0,0,0
"I3","E_FD","Hand to face touch","Risk",0.000251184252303913,0.000953804640167643,1.03258472356022e-11,0.0302549657224752,3.23650305879453e-06
"I3","E_FD","suscept touch seq 1","Risk",0,0,0,0,0
"I3","E_FD","suscept touch seq 2","Risk",0,0,0,0,0
"I3","E_TT","Hand to face touch","Risk",0.000260640854243805,0.00104332234290246,1.99058126170865e-11,0.0414849818655734,3.18027285011735e-06
"I3","E_TT","suscept touch seq 1","Risk",0,0,0,0,0
"I3","E_TT","suscept touch seq 2","Risk",0,0,0,0,0
"I4","E","Hand to face touch","Risk",0.000393840270869185,0.00158025528108106,4.3326181680707e-12,0.0515215340875653,4.45157855059475e-06
"I4","E","suscept touch seq 1","Risk",0,0,0,0,0
"I4","E_FD","Hand to face touch","Risk",0.000360011458220369,0.00134586803171415,4.22421238919918e-13,0.0286965311965101,3.91544472342054e-06
